,B.O.D. (mg/l) : Max : < 3 mg/l,B.O.D. (mg/l) : Mean : < 3 mg/l,B.O.D. (mg/l) : Min : < 3 mg/l,CONDUCTIVITY (µmhos/cm) : Max,CONDUCTIVITY (µmhos/cm) : Mean,CONDUCTIVITY (µmhos/cm) : Min,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml,NITRATE- N+ NITRITE-N (mg/l) : Max,NITRATE- N+ NITRITE-N (mg/l) : Mean,NITRATE- N+ NITRITE-N (mg/l) : Min,TEMPERATURE ºC : Max,TEMPERATURE ºC : Mean,TEMPERATURE ºC : Min,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml,pH : Max : 6.5-8.5,pH : Mean : 6.5-8.5,pH : Min : 6.5-8.5,B.O.D. (mg/l) : Max : < 3 mg/l_imp,B.O.D. (mg/l) : Mean : < 3 mg/l_imp,B.O.D. (mg/l) : Min : < 3 mg/l_imp,CONDUCTIVITY (µmhos/cm) : Max_imp,CONDUCTIVITY (µmhos/cm) : Mean_imp,CONDUCTIVITY (µmhos/cm) : Min_imp,FECAL COLIFORM (MPN/100ml) : Max : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Mean : < 2500 MPN/100ml_imp,FECAL COLIFORM (MPN/100ml) : Min : < 2500 MPN/100ml_imp,TEMPERATURE ºC : Max_imp,TEMPERATURE ºC : Mean_imp,TEMPERATURE ºC : Min_imp,TOTAL COLIFORM (MPN/100ml) : Max : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Mean : < 5000 MPN/100ml_imp,TOTAL COLIFORM (MPN/100ml) : Min : < 5000 MPN/100ml_imp,STATION CODE,LOCATIONS,State
440,0.4,0.4,0.4,2370.0,2320.0,2270.0,2110.385903843027,1028.876084914733,580.1812517210083,0.0,0.0,0.0,30.0,29.5,29.0,14716.55076763082,3789.3358469377235,512.9680002110068,7.5,7.4,7.4,0.4,0.4,0.4,2370.0,2320.0,2270.0,1887.5023041474653,1088.8341013824884,562.2764976958525,30.0,29.5,29.0,14249.386440677967,4048.237288135593,825.1254237288135,1934.0,CENTRAL HOWRAH-RESIDENTAIL AREA,west_bengal
441,1.0,0.7,0.4,1472.0,1461.0,1450.0,2.0,2.0,2.0,0.2,0.1,0.0,29.0,28.8,28.5,8.0,8.0,8.0,7.4,7.2,7.1,1.0,0.7,0.4,1472.0,1461.0,1450.0,2.0,2.0,2.0,29.0,28.8,28.5,8.0,8.0,8.0,1935.0,INSIDE KOLKATA LEATHER COMPLEX,west_bengal
442,0.8,0.6,0.5,928.0,917.0,905.0,2135.3508582186123,1025.2859146164978,583.9406596419415,0.1,0.0,0.0,28.0,27.5,27.0,15730.708047699933,3628.1144478191604,689.3703770265774,7.6,7.6,7.5,0.8,0.6,0.5,928.0,917.0,905.0,1887.5023041474653,1088.8341013824884,562.2764976958525,28.0,27.5,27.0,14249.386440677967,4048.237288135593,825.1254237288135,1936.0,RESIDENTIAL AREA AT SONARPUR,west_bengal
443,0.6,0.6,0.6,1570.0,1520.0,1470.0,2176.219804640471,1019.1391760792842,587.6751661889518,0.3,0.2,0.1,28.0,27.5,27.0,15941.015384705446,3650.1176729953677,720.2674391824448,8.0,7.7,7.5,0.6,0.6,0.6,1570.0,1520.0,1470.0,1887.5023041474653,1088.8341013824884,562.2764976958525,28.0,27.5,27.0,14249.386440677967,4048.237288135593,825.1254237288135,1937.0,RAJARHAT - NEW TOWNSHIP,west_bengal
444,1.3,1.0,0.7,2240.0,1979.0,1717.0,2.0,2.0,2.0,1.1,0.6,0.2,32.0,31.5,31.0,3.0,3.0,3.0,8.5,8.3,8.2,1.3,1.0,0.7,2240.0,1979.0,1717.0,2.0,2.0,2.0,32.0,31.5,31.0,3.0,3.0,3.0,1938.0,BASIRHAT MUNICIPALITY,west_bengal
445,2.6,1.4,0.1,384.0,366.0,348.0,0.0,0.0,0.0,0.4,0.2,0.1,30.0,27.5,25.0,0.0,0.0,0.0,8.4,7.9,7.3,2.6,1.4,0.1,384.0,366.0,348.0,0.0,0.0,0.0,30.0,27.5,25.0,0.0,0.0,0.0,1939.0,BARRAKPORE MUNICIPALITY,west_bengal
446,1.1,1.0,1.0,565.0,560.0,554.0,0.0,0.0,0.0,1.0,0.6,0.1,29.0,28.3,27.5,0.0,0.0,0.0,7.8,7.6,7.4,1.1,1.0,1.0,565.0,560.0,554.0,0.0,0.0,0.0,29.0,28.3,27.5,0.0,0.0,0.0,1940.0,NEAR THE PHOSPHATE COMPANY-RISHRA,west_bengal
447,1.1,0.7,0.3,410.0,398.0,385.0,0.0,0.0,0.0,0.4,0.3,0.2,29.0,28.5,28.0,0.0,0.0,0.0,7.8,7.6,7.5,1.1,0.7,0.3,410.0,398.0,385.0,0.0,0.0,0.0,29.0,28.5,28.0,0.0,0.0,0.0,1941.0,"NEAR FLY ASH DUMPING SITE-KUNTIGHAT, BANDEL",west_bengal
448,1.4,0.9,0.4,1441.0,1345.0,1248.0,2306.6573025674375,991.133475120581,613.6993975831209,0.4,0.4,0.4,33.0,33.0,33.0,16068.477462897632,3676.7178982214923,555.862730138512,7.5,7.4,7.3,1.4,0.9,0.4,1441.0,1345.0,1248.0,1887.5023041474653,1088.8341013824884,562.2764976958525,33.0,33.0,33.0,14249.386440677967,4048.237288135593,825.1254237288135,1942.0,NEAR EXIDE INDUSTRIES-HALDIA,west_bengal
449,0.3,0.3,0.3,535.0,492.0,448.0,2254.2939577344773,1004.7128313911338,599.2258115641097,0.0,0.0,0.0,32.0,31.5,31.0,16056.784052932808,3730.7975027365787,690.4556490180815,7.5,7.3,7.1,0.3,0.3,0.3,535.0,492.0,448.0,1887.5023041474653,1088.8341013824884,562.2764976958525,32.0,31.5,31.0,14249.386440677967,4048.237288135593,825.1254237288135,1943.0,"INSIDE TATA METALIKS, KHARAGPUR",west_bengal
450,0.8,0.7,0.6,116.0,108.0,100.0,2162.220275041374,1017.9781838451155,591.940420441968,1.5,1.2,1.0,30.0,30.0,30.0,15809.654765217512,3638.8922287010746,682.465531776865,7.4,7.3,7.2,0.8,0.7,0.6,116.0,108.0,100.0,1887.5023041474653,1088.8341013824884,562.2764976958525,30.0,30.0,30.0,14249.386440677967,4048.237288135593,825.1254237288135,1944.0,KHARAGPUR INDUSTRIAL AREA,west_bengal
451,0.8,0.7,0.6,590.0,494.0,398.0,2003.5154366168363,1055.72429034849,555.6086453374274,1.1,0.6,0.1,26.0,25.0,24.0,14582.193590892668,3964.805005232647,907.9359199143191,7.6,7.3,7.0,0.8,0.7,0.6,590.0,494.0,398.0,1887.5023041474653,1088.8341013824884,562.2764976958525,26.0,25.0,24.0,14249.386440677967,4048.237288135593,825.1254237288135,1945.0,ENGLISH BAZAR- MALDAH,west_bengal
452,0.8,0.6,0.4,1016.0,1012.0,1008.0,2073.283723697516,1037.82638769174,570.1904627772527,0.0,0.0,0.0,28.5,27.8,27.0,14998.636787272857,3771.4167862147942,677.1979994590304,7.5,7.3,7.2,0.8,0.6,0.4,1016.0,1012.0,1008.0,1887.5023041474653,1088.8341013824884,562.2764976958525,28.5,27.8,27.0,14249.386440677967,4048.237288135593,825.1254237288135,2510.0,GEOKHALI BUNGLOW MIDNAPUR-EAST,west_bengal
453,0.7,0.5,0.2,500.0,465.0,429.0,2126.7007922266607,1033.0384575876938,570.461654390183,0.7,0.4,0.1,29.0,27.5,26.0,15802.783590842233,3754.2154991512352,882.7887186469236,7.9,7.5,7.2,0.7,0.5,0.2,500.0,465.0,429.0,1887.5023041474653,1088.8341013824884,562.2764976958525,29.0,27.5,26.0,14249.386440677967,4048.237288135593,825.1254237288135,2515.0,"SDO OFFICE, RANAGHAT",west_bengal
454,0.4,0.2,0.1,663.0,545.0,426.0,2291.916204150754,1003.8918049188134,597.9220979210832,0.3,0.2,0.2,29.0,28.0,27.0,16467.59476769962,3821.0475017780846,890.8280618457424,8.0,7.6,7.1,0.4,0.2,0.1,663.0,545.0,426.0,1887.5023041474653,1088.8341013824884,562.2764976958525,29.0,28.0,27.0,14249.386440677967,4048.237288135593,825.1254237288135,2516.0,"SDO OFFICE, KRISHNANAGAR",west_bengal
455,1.2,0.7,0.2,101.0,93.0,85.0,80.0,75.0,70.0,0.3,0.2,0.1,28.0,27.0,26.0,140.0,130.0,120.0,7.4,7.2,7.0,1.2,0.7,0.2,101.0,93.0,85.0,80.0,75.0,70.0,28.0,27.0,26.0,140.0,130.0,120.0,2526.0,FULBARI BARRAGE,west_bengal
